type,name,zeroC,halfC,oneC,oneHalfC,twoC,twoHalfC,threeC,threeHalfC,fourC,fourHalfC,fiveC,fiveHalfC,sixC,x,y
insects,bumblebee,0,45,60,75,90,100,100,100,100,100,100,100,100,300,300
Birds,forest_bird,0,36.75,49,61.25,75.5,87.25,91.5,100,100,100,100,100,100,500,400
Reptiles & Amphibians,frog,0,42,82,100,100,100,100,100,100,100,100,100,100,300,800
marine life,Cod,0,4,8,12,16,20,24,28,32,36,40,44,48,400,500
Mammals,Seal,0,8.25,16.5,24.75,33,40.25,48,55.75,63.5,71.25,79,86.75,94.5,600,700
mammals,tiger,0,12.5,18.75,25,31.25,42.5,51.25,60,68.75,77.5,86.25,95,100,200,900
